customer_id,customer_segment,order_count,total_spent,avg_order_value,last_purchase_date
56991,,1,14.99,14.99,2018-08-25 00:00:00
57021,,1,375.9,187.95,2018-08-25 00:00:00
57138,,1,103.0,103.0,2018-08-24 00:00:00
57313,,1,8.49,8.49,2018-08-26 00:00:00
57322,,1,20.9,20.9,2018-08-26 00:00:00
57677,,1,299.8,149.9,2018-08-26 00:00:00
57873,,1,119.0,119.0,2018-08-23 00:00:00
58204,,1,92.0,92.0,2018-08-23 00:00:00
58651,,1,79.5,79.5,2018-08-25 00:00:00
59154,,1,220.0,220.0,2018-08-26 00:00:00
59490,,1,207.0,207.0,2018-08-24 00:00:00
59493,,1,49.0,49.0,2018-08-28 00:00:00
59705,,1,59.0,59.0,2018-08-23 00:00:00
59769,,1,69.0,69.0,2018-08-23 00:00:00
59922,,1,29.9,29.9,2018-08-24 00:00:00
60185,,1,48.0,48.0,2018-08-27 00:00:00
60394,,1,97.99,97.99,2018-08-23 00:00:00
60406,,1,95.9,95.9,2018-08-27 00:00:00
60457,,1,42.0,42.0,2018-08-26 00:00:00
60895,,1,45.0,45.0,2018-08-27 00:00:00
60941,,1,19.9,19.9,2018-08-24 00:00:00
61017,,1,23.88,3.98,2018-08-24 00:00:00
61187,,1,330.96,110.32,2018-08-23 00:00:00
61266,,1,13.5,13.5,2018-08-23 00:00:00
61368,,1,131.9,131.9,2018-08-23 00:00:00
61455,,1,149.99,149.99,2018-08-23 00:00:00
61659,,1,14.9,14.9,2018-08-23 00:00:00
62015,,1,49.49,49.49,2018-08-27 00:00:00
62104,,1,120.0,120.0,2018-08-23 00:00:00
62174,,1,44.99,44.99,2018-08-23 00:00:00
62177,,1,75.0,75.0,2018-08-26 00:00:00
62493,,1,62.5,62.5,2018-08-25 00:00:00
62731,,1,48.9,48.9,2018-08-26 00:00:00
62770,,1,59.89,59.89,2018-08-23 00:00:00
62868,,1,47.83,47.83,2018-08-24 00:00:00
62931,,1,55.0,55.0,2018-08-24 00:00:00
63038,,1,129.0,129.0,2018-08-24 00:00:00
63113,,1,149.0,149.0,2018-08-23 00:00:00
63262,,1,199.0,199.0,2018-08-26 00:00:00
63299,,1,274.9,274.9,2018-08-27 00:00:00
64316,,1,119.9,119.9,2018-08-25 00:00:00
64607,,1,188.0,188.0,2018-08-23 00:00:00
64811,,1,79.99,79.99,2018-08-23 00:00:00
64888,,1,439.99,439.99,2018-08-25 00:00:00
64902,,1,19.9,19.9,2018-08-28 00:00:00
65643,,1,55.49,55.49,2018-08-23 00:00:00
65652,,1,74.0,74.0,2018-08-24 00:00:00
65653,,1,330.0,330.0,2018-08-26 00:00:00
65974,,1,29.99,29.99,2018-08-25 00:00:00
66002,,1,159.9,159.9,2018-08-23 00:00:00
66051,,1,134.99,134.99,2018-08-23 00:00:00
66085,,1,95.4,95.4,2018-08-25 00:00:00
66382,,1,109.9,109.9,2018-08-24 00:00:00
66687,,1,150.9,150.9,2018-08-28 00:00:00
66722,,1,30.0,30.0,2018-08-24 00:00:00
66997,,1,99.9,99.9,2018-08-23 00:00:00
67449,,1,35.94,35.94,2018-08-23 00:00:00
67597,,1,99.9,99.9,2018-08-28 00:00:00
67671,,1,96.0,96.0,2018-08-23 00:00:00
67959,,1,61.8,30.9,2018-08-26 00:00:00
67969,,1,89.9,89.9,2018-08-26 00:00:00
68038,,1,189.0,189.0,2018-08-24 00:00:00
68203,,1,139.49,139.49,2018-08-25 00:00:00
68242,,1,149.0,149.0,2018-08-24 00:00:00
68498,,1,83.98,41.99,2018-08-27 00:00:00
69251,,1,20.2,20.2,2018-08-27 00:00:00
70583,,1,18.99,18.99,2018-08-28 00:00:00
70801,,1,369.9,369.9,2018-08-27 00:00:00
70924,,1,42.0,42.0,2018-08-27 00:00:00
71178,,1,159.0,159.0,2018-08-27 00:00:00
71372,,1,89.99,89.99,2018-08-24 00:00:00
71425,,1,64.8,64.8,2018-08-23 00:00:00
71756,,1,119.9,119.9,2018-08-23 00:00:00
71825,,1,139.0,139.0,2018-08-23 00:00:00
71844,,1,44.85,44.85,2018-08-23 00:00:00
72030,,1,169.9,169.9,2018-08-23 00:00:00
72179,,1,89.0,89.0,2018-08-23 00:00:00
